"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-10-15 23:30:00,1037.80,63.0,47.0,55,0,176,,,,,,
2020-10-15 23:44:00,1037.60,63.0,45.6,52,0,190,,,,,,
2020-10-16 00:15:00,1037.20,62.0,48.8,62,0,0,,,,,,
2020-10-16 00:30:00,1036.70,59.0,48.1,67,0,0,,,,,,
2020-10-16 00:44:00,1036.70,57.0,48.4,72,0,0,1032.10,57.2,46.6,67,,230
2020-10-16 00:59:00,1036.80,56.0,49.9,80,0,0,1032.10,57.2,46.6,67,,228
2020-10-16 01:14:00,1036.70,55.0,49.6,81,0,0,,,,,,
2020-10-16 01:29:00,1036.60,54.0,49.0,82,0,0,,,,,,
2020-10-16 01:44:00,1036.80,53.0,48.3,83,0,0,1031.95,54.8,47.7,76,,230
2020-10-16 02:00:00,1036.60,53.0,48.9,85,0,0,,,,,,
2020-10-16 02:15:00,1037.00,53.0,48.9,85,0,0,,,,,,
2020-10-16 02:29:00,1036.70,53.0,49.2,86,0,0,,,,,,
2020-10-16 02:44:00,1036.60,52.0,47.6,84,0,0,1031.86,53.9,47.9,79,,230
2020-10-16 03:00:00,1036.70,52.0,47.9,85,0,0,,,,,,
2020-10-16 03:15:00,1036.70,52.0,48.2,86,0,0,,,,,,
2020-10-16 03:30:00,1036.60,52.0,48.2,86,0,0,,,,,,
2020-10-16 03:44:00,1036.50,52.0,48.6,88,0,0,1031.52,53.2,48.3,83,,230
2020-10-16 03:59:00,1036.10,52.0,48.6,88,0,0,1031.52,53.2,48.3,83,,228
2020-10-16 04:14:00,1036.10,52.0,49.2,90,0,0,,,,,,
2020-10-16 04:29:00,1035.50,52.0,49.2,90,0,0,,,,,,
2020-10-16 04:45:00,1035.60,51.0,47.9,88,0,0,1030.89,51.7,47.9,86,,229
2020-10-16 04:59:00,1035.40,51.0,48.2,89,0,0,1030.89,51.7,48.0,86,,228
2020-10-16 05:15:00,1034.90,51.0,48.2,89,0,0,,,,,,
2020-10-16 05:29:00,1034.80,50.0,47.5,91,0,0,,,,,,
2020-10-16 05:45:00,1034.70,50.0,47.5,90,0,0,1030.00,50.1,47.3,90,,230
2020-10-16 06:00:00,1034.80,50.0,47.8,92,0,0,,,,,,
2020-10-16 06:15:00,1034.80,49.0,46.8,92,0,0,,,,,,
2020-10-16 06:29:00,1034.70,49.0,47.1,92,0,0,,,,,,
2020-10-16 06:44:00,1034.60,50.0,48.1,92,0,0,1029.76,49.8,47.4,91,,230
2020-10-16 07:00:00,1034.60,50.0,48.1,93,0,0,,,,,,
2020-10-16 07:14:00,1034.40,50.0,48.1,93,0,0,,,,,,
2020-10-16 07:29:00,1034.10,49.0,47.1,92,0,0,,,,,,
2020-10-16 07:44:00,1033.90,49.0,47.4,93,0,0,1029.02,49.1,47.4,93,,230
2020-10-16 07:59:00,1033.80,48.0,46.4,94,0,0,1029.02,49.1,47.4,93,,228
2020-10-16 08:14:00,1033.60,48.0,46.4,94,0,0,,,,,,
2020-10-16 08:29:00,1033.40,48.0,46.6,95,0,0,,,,,,
2020-10-16 08:44:00,1033.20,48.0,46.9,95,0,0,1028.11,48.6,46.5,92,,229
2020-10-16 09:00:00,1032.90,48.0,46.6,95,0,145,,,,,,
2020-10-16 09:14:00,1032.70,48.0,46.4,94,0,176,,,,,,
2020-10-16 09:30:00,1032.90,48.0,46.1,92,0,191,,,,,,
2020-10-16 09:44:00,1032.60,48.0,46.1,92,0,0,1027.72,48.5,46.4,92,,229
2020-10-16 10:00:00,1032.40,49.0,47.4,94,0,167,,,,,,
2020-10-16 10:14:00,1032.00,49.0,47.1,92,0,158,,,,,,
2020-10-16 10:30:00,1031.60,49.0,46.8,92,0,207,,,,,,
2020-10-16 10:45:00,1031.30,49.0,46.8,91,0,0,1026.60,49.8,47.0,90,,230
2020-10-16 10:59:00,1031.40,49.0,46.5,90,0,0,1026.60,49.8,47.0,90,,228
2020-10-16 11:14:00,1031.20,49.0,46.2,90,0,138,,,,,,
2020-10-16 11:30:00,1030.80,49.0,46.8,92,0,200,,,,,,
2020-10-16 11:45:00,1030.40,49.0,46.2,89,0,0,1025.75,48.8,46.1,90,,230
2020-10-16 12:00:00,1030.20,49.0,46.2,90,0,0,,,,,,
2020-10-16 12:14:00,1029.80,49.0,45.9,88,0,247,,,,,,
2020-10-16 12:29:00,1029.50,49.0,45.6,87,0,171,,,,,,
2020-10-16 12:44:00,1029.30,50.0,46.6,87,0,0,1024.54,49.9,46.1,86,,230
2020-10-16 13:00:00,1029.00,50.0,46.3,86,0,165,,,,,,
2020-10-16 13:14:00,1029.10,51.0,46.6,84,0,165,,,,,,
2020-10-16 13:30:00,1028.80,51.0,46.3,84,0,154,,,,,,
2020-10-16 13:45:00,1028.40,52.0,47.0,83,1,164,,,,,,
2020-10-16 14:00:00,1028.40,52.0,47.0,83,2,160,,,,,,
2020-10-16 14:14:00,1028.10,52.0,47.0,83,2,167,,,,,,
2020-10-16 14:29:00,1028.10,52.0,47.3,84,2,174,,,,,,
2020-10-16 14:44:00,1027.50,52.0,47.6,84,2,165,,,,,,
2020-10-16 15:00:00,1027.40,53.0,48.6,84,2,163,,,,,,
2020-10-16 15:15:00,1027.10,53.0,48.9,85,2,161,,,,,,
2020-10-16 15:30:00,1027.00,53.0,49.2,86,2,172,,,,,,
2020-10-16 15:45:00,1027.00,54.0,50.2,87,3,156,,,,,,
2020-10-16 16:00:00,1026.40,54.0,50.5,88,3,164,,,,,,
2020-10-16 16:15:00,1026.30,54.0,50.5,88,2,170,,,,,,
2020-10-16 16:30:00,1026.10,54.0,50.5,88,2,159,,,,,,
2020-10-16 16:44:00,1025.80,54.0,50.8,88,2,163,,,,,,
2020-10-16 17:00:00,1025.50,54.0,50.8,88,1,169,,,,,,
2020-10-16 17:14:00,1025.10,55.0,52.1,90,2,151,,,,,,
2020-10-16 17:29:00,1024.90,55.0,52.1,90,0,187,,,,,,
2020-10-16 17:45:00,1024.90,56.0,53.1,90,2,160,,,,,,
2020-10-16 18:00:00,1024.50,56.0,53.1,90,2,162,,,,,,
2020-10-16 18:15:00,1024.50,57.0,54.1,89,0,185,,,,,,
2020-10-16 18:30:00,1024.20,57.0,54.1,89,1,156,,,,,,
2020-10-16 18:45:00,1024.10,58.0,54.8,88,0,143,,,,,,
2020-10-16 19:00:00,1023.90,59.0,55.5,88,1,160,,,,,,
2020-10-16 19:14:00,1023.80,61.0,57.4,88,1,165,,,,,,
2020-10-16 19:30:00,1023.60,61.0,56.8,86,0,143,,,,,,
2020-10-16 19:45:00,1023.20,62.0,57.4,84,1,154,,,,,,
2020-10-16 20:00:00,1022.70,63.0,58.1,83,1,150,,,,,,
2020-10-16 20:14:00,1022.40,66.0,59.6,80,1,190,,,,,,
2020-10-16 20:29:00,1022.20,66.0,58.9,78,3,200,,,,,,
2020-10-16 20:44:00,1022.10,66.0,58.2,75,1,173,,,,,,
2020-10-16 21:00:00,1021.80,68.0,59.8,74,1,202,,,,,,
2020-10-16 21:14:00,1022.00,67.0,59.9,78,1,319,,,,,,
2020-10-16 21:29:00,1022.00,65.0,59.0,80,0,5,,,,,,
2020-10-16 21:44:00,1022.00,64.0,58.4,82,0,354,,,,,,
2020-10-16 21:59:00,1022.00,64.0,58.7,83,0,208,,,,,,
2020-10-16 22:15:00,1021.60,64.0,58.4,82,0,0,,,,,,
2020-10-16 22:29:00,1021.60,64.0,58.7,83,0,184,,,,,,
2020-10-16 22:44:00,1021.70,64.0,58.4,82,2,169,,,,,,
2020-10-16 23:00:00,1021.80,64.0,59.1,83,4,190,,,,,,
2020-10-16 23:14:00,1021.60,64.0,59.1,83,2,198,,,,,,
2020-10-16 23:29:00,1021.30,64.0,59.1,83,3,201,,,,,,
2020-10-16 23:44:00,1021.40,63.0,58.4,84,3,172,,,,,,
2020-10-17 00:15:00,1021.40,63.0,58.7,85,2,155,,,,,,
2020-10-17 00:29:00,1021.40,63.0,58.7,85,1,145,,,,,,
2020-10-17 00:44:00,1021.30,63.0,59.1,86,1,138,1017.04,62.8,58.1,84,,212
2020-10-17 00:59:00,1021.30,62.0,58.7,89,0,0,1017.04,62.8,58.0,84,,228
2020-10-17 01:14:00,1021.40,62.0,58.7,89,0,9,,,,,,
2020-10-17 01:29:00,1021.40,61.0,58.0,89,0,35,,,,,,
2020-10-17 01:44:00,1021.50,61.0,58.4,90,0,0,1017.25,61.5,57.9,87,,230
2020-10-17 01:59:00,1021.50,61.0,58.4,90,0,0,1017.25,61.5,57.9,87,,228
2020-10-17 02:14:00,1021.50,61.0,58.0,89,0,121,,,,,,
2020-10-17 02:30:00,1021.60,61.0,58.7,92,0,26,,,,,,
2020-10-17 02:44:00,1021.70,60.0,58.0,93,0,0,1017.40,60.2,57.5,90,,229
2020-10-17 02:59:00,1021.80,59.0,57.0,92,0,0,1017.40,60.2,57.5,90,,228
2020-10-17 03:14:00,1021.60,59.0,57.3,93,0,270,,,,,,
2020-10-17 03:29:00,1021.60,58.0,56.6,94,0,270,,,,,,
2020-10-17 03:44:00,1021.70,58.0,56.6,94,0,0,1017.35,58.7,56.8,93,,230
2020-10-17 04:00:00,1021.60,58.0,56.6,94,0,270,,,,,,
2020-10-17 04:14:00,1021.90,58.0,56.9,95,0,0,,,,,,
2020-10-17 04:30:00,1021.70,58.0,56.9,95,0,270,,,,,,
2020-10-17 04:44:00,1021.80,58.0,56.6,94,0,0,1017.71,57.7,55.7,93,,230
2020-10-17 05:00:00,1022.00,57.0,55.6,94,0,107,,,,,,
2020-10-17 05:15:00,1021.70,56.0,54.6,95,0,105,,,,,,
2020-10-17 05:29:00,1021.80,56.0,54.6,95,0,111,,,,,,
2020-10-17 05:45:00,1021.90,55.0,53.6,94,0,0,1017.61,55.8,54.0,93,,230
2020-10-17 05:59:00,1021.90,55.0,53.6,94,0,0,1017.61,55.8,54.0,93,,228
2020-10-17 06:15:00,1022.10,54.0,52.9,95,0,91,,,,,,
2020-10-17 06:29:00,1022.30,54.0,52.9,95,0,237,,,,,,
2020-10-17 06:45:00,1022.30,54.0,52.9,95,0,0,1018.26,54.7,53.0,93,,228
2020-10-17 07:00:00,1022.60,54.0,52.9,95,0,125,,,,,,
2020-10-17 07:15:00,1022.80,54.0,52.9,95,0,86,,,,,,
2020-10-17 07:30:00,1023.10,53.0,51.9,96,0,155,,,,,,
2020-10-17 07:45:00,1023.00,53.0,51.9,96,0,0,1018.79,53.7,52.1,94,,229
2020-10-17 08:00:00,1023.10,53.0,51.9,96,0,74,,,,,,
2020-10-17 08:15:00,1023.10,53.0,51.9,96,0,123,,,,,,
2020-10-17 08:30:00,1023.40,53.0,51.9,96,0,179,,,,,,
2020-10-17 08:45:00,1023.60,53.0,52.2,96,0,0,1019.35,53.2,51.6,94,,230
2020-10-17 09:00:00,1023.70,53.0,52.2,96,0,0,,,,,,
2020-10-17 09:15:00,1023.90,53.0,52.2,96,0,223,,,,,,
2020-10-17 09:30:00,1024.00,53.0,52.2,96,0,115,,,,,,
2020-10-17 09:45:00,1024.30,53.0,51.9,96,0,0,1020.07,52.7,51.1,94,,230
2020-10-17 10:00:00,1024.30,53.0,52.2,96,0,0,,,,,,
2020-10-17 10:15:00,1024.20,53.0,52.2,96,0,151,,,,,,
2020-10-17 10:30:00,1024.30,53.0,52.2,96,0,130,,,,,,
2020-10-17 10:45:00,1024.40,53.0,52.2,96,0,0,1020.14,53.0,51.3,94,,229
2020-10-17 11:00:00,1024.20,53.0,52.2,96,0,185,,,,,,
2020-10-17 11:15:00,1024.40,53.0,52.2,96,0,151,,,,,,
2020-10-17 11:30:00,1024.40,53.0,52.2,96,0,0,,,,,,
2020-10-17 11:45:00,1024.30,52.0,51.2,96,0,0,1020.22,52.8,51.0,93,,230
2020-10-17 12:00:00,1024.50,52.0,51.2,96,0,201,,,,,,
2020-10-17 12:15:00,1024.30,52.0,51.2,96,0,0,,,,,,
2020-10-17 12:30:00,1024.20,52.0,51.2,96,0,0,,,,,,
2020-10-17 12:45:00,1024.40,52.0,51.2,96,0,0,1020.40,52.7,51.0,93,,229
2020-10-17 13:00:00,1024.70,53.0,52.2,96,0,0,,,,,,
2020-10-17 13:15:00,1024.90,53.0,52.2,96,0,0,,,,,,
2020-10-17 13:30:00,1025.00,53.0,52.2,96,0,169,,,,,,
2020-10-17 13:45:00,1024.90,52.0,50.9,95,0,153,,,,,,
2020-10-17 14:00:00,1025.00,52.0,50.9,95,0,159,,,,,,
2020-10-17 14:15:00,1025.10,52.0,51.2,96,0,139,,,,,,
2020-10-17 14:30:00,1025.10,52.0,51.2,96,0,133,,,,,,
2020-10-17 14:45:00,1025.10,52.0,51.2,96,0,166,,,,,,
2020-10-17 15:00:00,1025.30,52.0,51.2,96,0,183,,,,,,
2020-10-17 15:15:00,1025.70,52.0,51.2,96,0,132,,,,,,
2020-10-17 15:30:00,1025.80,52.0,51.2,96,0,161,,,,,,
2020-10-17 15:45:00,1025.80,52.0,51.2,96,0,157,,,,,,
2020-10-17 16:00:00,1026.00,52.0,51.2,96,0,153,,,,,,
2020-10-17 16:15:00,1025.90,52.0,50.9,95,0,166,,,,,,
2020-10-17 16:30:00,1026.00,52.0,50.9,95,0,144,,,,,,
2020-10-17 16:45:00,1026.20,52.0,50.9,95,0,152,,,,,,
2020-10-17 17:00:00,1026.10,52.0,50.9,95,0,168,,,,,,
2020-10-17 17:15:00,1026.40,52.0,50.9,95,0,160,,,,,,
2020-10-17 17:30:00,1026.30,52.0,50.9,95,1,156,,,,,,
2020-10-17 17:45:00,1026.60,52.0,50.9,95,1,155,,,,,,
2020-10-17 18:00:00,1026.40,52.0,50.6,94,1,166,,,,,,
2020-10-17 18:15:00,1026.50,53.0,51.6,94,1,175,,,,,,
2020-10-17 18:30:00,1026.50,53.0,51.3,94,2,155,,,,,,
2020-10-17 18:45:00,1026.60,53.0,51.3,94,1,163,,,,,,
2020-10-17 19:00:00,1026.70,53.0,50.7,92,1,177,,,,,,
2020-10-17 19:15:00,1026.60,53.0,50.7,92,1,158,,,,,,
2020-10-17 19:30:00,1026.60,54.0,52.0,92,0,170,,,,,,
2020-10-17 19:45:00,1026.80,54.0,51.4,90,0,158,,,,,,
2020-10-17 20:00:00,1026.60,54.0,51.4,90,0,162,,,,,,
2020-10-17 20:15:00,1026.50,54.0,51.1,89,0,150,,,,,,
2020-10-17 20:30:00,1026.50,54.0,51.1,89,0,163,,,,,,
2020-10-17 20:45:00,1026.40,55.0,52.1,90,0,177,,,,,,
2020-10-17 21:00:00,1026.50,55.0,52.1,90,0,223,,,,,,
2020-10-17 21:15:00,1026.70,55.0,51.5,87,0,170,,,,,,
2020-10-17 21:30:00,1026.70,55.0,51.5,87,0,169,,,,,,
2020-10-17 21:45:00,1026.70,55.0,51.5,87,0,133,,,,,,
2020-10-17 22:00:00,1026.60,55.0,51.5,87,0,132,,,,,,
2020-10-17 22:15:00,1026.60,56.0,52.2,86,0,237,,,,,,
2020-10-17 22:30:00,1026.60,56.0,53.1,90,0,237,,,,,,
2020-10-17 22:45:00,1026.50,55.0,52.4,90,0,0,,,,,,
2020-10-17 23:00:00,1026.50,55.0,52.4,90,0,237,,,,,,
2020-10-17 23:15:00,1026.20,55.0,52.1,90,0,237,,,,,,
2020-10-17 23:30:00,1026.30,55.0,51.5,87,0,0,,,,,,
2020-10-17 23:45:00,1026.40,55.0,52.1,90,0,0,,,,,,
2020-10-18 00:15:00,1026.10,54.0,52.0,92,0,0,,,,,,
2020-10-18 00:30:00,1026.10,54.0,52.3,93,0,0,,,,,,
2020-10-18 00:45:00,1026.10,54.0,52.0,92,0,0,1021.62,54.2,51.8,91,,229
2020-10-18 01:00:00,1026.20,54.0,52.3,93,0,0,,,,,,
2020-10-18 01:15:00,1026.20,53.0,51.3,94,0,0,,,,,,
2020-10-18 01:30:00,1026.00,53.0,51.6,94,0,0,,,,,,
2020-10-18 01:45:00,1025.90,52.0,50.6,94,0,0,1021.42,53.1,50.9,92,,230
2020-10-18 02:00:00,1026.00,52.0,50.6,94,0,0,,,,,,
2020-10-18 02:15:00,1026.00,52.0,50.6,94,0,0,,,,,,
2020-10-18 02:30:00,1025.90,52.0,50.6,94,0,0,,,,,,
2020-10-18 02:45:00,1026.00,52.0,50.9,95,0,0,1021.44,52.7,50.8,93,,230
2020-10-18 03:00:00,1026.00,52.0,50.9,95,0,0,,,,,,
2020-10-18 03:15:00,1025.60,52.0,50.9,95,0,0,,,,,,
2020-10-18 03:30:00,1025.50,52.0,50.9,95,0,0,,,,,,
2020-10-18 03:45:00,1025.40,52.0,50.9,95,0,0,1020.69,52.6,51.0,94,,230
2020-10-18 04:00:00,1025.20,52.0,50.9,95,0,0,,,,,,
2020-10-18 04:15:00,1024.90,52.0,50.9,95,0,0,,,,,,
2020-10-18 04:30:00,1025.10,52.0,50.9,95,0,0,,,,,,
2020-10-18 04:45:00,1024.80,52.0,50.9,95,0,0,1020.17,52.3,50.5,93,,228
2020-10-18 05:00:00,1024.50,52.0,50.9,95,0,0,,,,,,
2020-10-18 05:15:00,1024.20,52.0,51.2,96,0,0,,,,,,
2020-10-18 05:30:00,1023.90,52.0,50.9,95,0,0,,,,,,
2020-10-18 05:45:00,1023.80,52.0,50.9,95,0,0,1019.42,52.1,50.5,94,,230
2020-10-18 06:00:00,1023.70,52.0,50.6,94,0,211,,,,,,
2020-10-18 06:15:00,1023.60,52.0,50.3,94,0,187,,,,,,
2020-10-18 06:30:00,1023.70,52.0,50.3,94,0,153,,,,,,
2020-10-18 06:45:00,1023.60,52.0,50.3,94,0,142,1019.27,52.0,50.3,94,,212
2020-10-18 07:00:00,1023.50,52.0,50.3,94,0,153,,,,,,
2020-10-18 07:15:00,1023.30,52.0,50.0,93,0,152,,,,,,
2020-10-18 07:30:00,1023.00,52.0,50.0,93,0,162,,,,,,
2020-10-18 07:45:00,1023.00,52.0,50.0,93,0,0,1018.49,51.4,49.8,93,,230
2020-10-18 08:00:00,1023.00,52.0,49.8,92,1,154,,,,,,
2020-10-18 08:15:00,1023.10,52.0,49.5,90,0,166,,,,,,
2020-10-18 08:30:00,1023.20,52.0,49.5,90,0,149,,,,,,
2020-10-18 08:45:00,1023.60,52.0,49.5,90,0,0,1019.10,51.8,49.2,90,,230
2020-10-18 09:00:00,1023.60,52.0,49.2,90,0,169,,,,,,
2020-10-18 09:15:00,1023.00,52.0,48.6,88,1,162,,,,,,
