"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-03-16 21:26:00,1026.80,49.0,37.8,64,3,154,,,,,,
2020-03-16 21:41:00,1027.10,48.0,37.2,65,2,224,,,,,,
2020-03-16 21:57:00,1026.80,48.0,37.6,66,0,248,,,,,,
2020-03-16 22:12:00,1026.80,48.0,37.2,65,0,235,,,,,,
2020-03-16 22:27:00,1026.80,48.0,37.6,66,1,180,,,,,,
2020-03-16 22:42:00,1026.80,47.0,37.0,67,0,201,,,,,,
2020-03-16 22:57:00,1026.80,47.0,37.4,68,1,196,,,,,,
2020-03-16 23:12:00,1027.10,47.0,38.1,70,0,286,,,,,,
2020-03-16 23:27:00,1026.80,46.0,37.8,73,0,264,,,,,,
2020-03-16 23:42:00,1027.10,46.0,37.8,73,0,333,,,,,,
2020-03-16 23:57:00,1027.10,46.0,38.2,73,0,94,,,,,,
2020-03-17 00:13:00,1027.10,46.0,38.2,73,0,273,,,,,,
2020-03-17 00:28:00,1027.10,46.0,38.5,75,0,261,,,,,,
2020-03-17 00:43:00,1027.10,46.0,38.9,76,0,253,,,,,,
2020-03-17 00:58:00,1026.40,46.0,38.5,75,0,264,,,,,,
2020-03-17 01:13:00,1026.80,45.0,37.9,76,0,267,,,,,,
2020-03-17 01:28:00,1026.80,45.0,38.2,76,0,277,,,,,,
2020-03-17 01:43:00,1026.40,46.0,39.2,76,1,94,,,,,,
2020-03-17 01:58:00,1026.10,45.0,38.6,78,1,222,,,,,,
2020-03-17 02:14:00,1026.10,45.0,39.2,80,0,261,,,,,,
2020-03-17 02:29:00,1025.70,45.0,39.2,80,0,80,,,,,,
2020-03-17 02:44:00,1025.70,45.0,39.2,80,0,119,,,,,,
2020-03-17 02:59:00,1025.70,45.0,39.5,81,0,278,,,,,,
2020-03-17 03:14:00,1025.40,45.0,39.8,81,0,273,,,,,,
2020-03-17 03:29:00,1025.70,45.0,39.8,81,2,171,,,,,,
2020-03-17 03:44:00,1025.40,44.0,39.2,82,0,226,,,,,,
2020-03-17 04:00:00,1025.10,44.0,39.2,82,1,236,,,,,,
2020-03-17 04:15:00,1024.70,44.0,39.2,82,0,269,,,,,,
2020-03-17 04:30:00,1024.00,44.0,39.5,83,0,115,,,,,,
2020-03-17 04:45:00,1024.00,44.0,40.1,86,0,251,,,,,,
2020-03-17 05:00:00,1024.00,44.0,40.4,86,0,205,,,,,,
2020-03-17 05:15:00,1024.00,44.0,40.7,88,0,338,,,,,,
2020-03-17 05:30:00,1023.70,44.0,40.7,88,2,258,,,,,,
2020-03-17 05:45:00,1023.70,44.0,40.7,88,0,250,,,,,,
2020-03-17 06:00:00,1023.40,44.0,41.0,89,0,326,,,,,,
2020-03-17 06:06:00,1023.00,44.0,41.0,89,0,274,,,,,,
2020-03-17 06:27:00,1023.00,44.0,41.0,89,0,295,,,,,,
2020-03-17 06:42:00,1023.00,44.0,41.3,90,0,307,,,,,,
2020-03-17 06:57:00,1022.70,44.0,41.3,90,0,286,,,,,,
2020-03-17 07:12:00,1022.40,44.0,41.3,90,0,278,,,,,,
2020-03-17 07:27:00,1022.00,44.0,41.3,90,0,281,,,,,,
2020-03-17 07:42:00,1022.00,44.0,41.3,90,0,295,,,,,,
2020-03-17 07:57:00,1021.70,44.0,41.5,90,0,281,,,,,,
2020-03-17 08:13:00,1021.70,44.0,41.5,90,0,275,,,,,,
2020-03-17 08:28:00,1021.30,44.0,41.5,90,0,285,,,,,,
2020-03-17 08:43:00,1020.70,44.0,41.5,90,0,279,,,,,,
2020-03-17 08:58:00,1021.00,43.0,40.6,91,0,277,,,,,,
2020-03-17 09:13:00,1021.00,43.0,40.8,92,0,283,,,,,,
2020-03-17 09:28:00,1020.70,43.0,40.8,92,0,283,,,,,,
2020-03-17 09:43:00,1021.00,43.0,40.8,92,0,276,,,,,,
2020-03-17 09:58:00,1021.00,43.0,40.8,92,0,277,,,,,,
2020-03-17 10:13:00,1021.00,43.0,40.8,92,0,275,,,,,,
2020-03-17 10:29:00,1020.70,43.0,40.8,92,0,277,,,,,,
2020-03-17 10:44:00,1021.00,43.0,40.8,92,0,283,,,,,,
2020-03-17 10:59:00,1020.70,43.0,40.8,92,0,277,,,,,,
2020-03-17 11:14:00,1021.00,43.0,41.1,93,0,282,,,,,,
2020-03-17 11:29:00,1020.70,43.0,41.1,93,0,276,,,,,,
2020-03-17 11:44:00,1021.00,43.0,40.8,92,0,278,,,,,,
2020-03-17 11:59:00,1020.70,44.0,41.8,92,0,275,,,,,,
2020-03-17 12:14:00,1021.00,44.0,41.8,92,0,281,,,,,,
