"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-02-01 07:12:00,1011.70,52.0,50.9,95,4,170,,,,,,
2020-02-01 07:27:00,1011.80,52.0,50.9,95,4,188,,,,,,
2020-02-01 07:42:00,1011.60,52.0,50.9,96,3,162,1011.42,50.7,48.8,93,,212
2020-02-01 07:47:00,1011.70,52.0,50.9,96,5,195,1011.42,50.7,48.8,93,,212
2020-02-01 07:52:00,1011.40,52.0,50.9,96,5,194,1011.42,50.7,48.8,93,,211
2020-02-01 07:57:00,1010.70,52.0,50.9,96,5,127,1011.46,50.7,48.8,93,,211
2020-02-01 08:12:00,1011.30,52.0,51.2,96,5,224,,,,,,
2020-02-01 08:27:00,1011.20,52.0,51.2,96,5,208,,,,,,
2020-02-01 08:42:00,1011.10,52.0,51.2,97,5,157,1011.63,50.4,46.8,87,,212
2020-02-01 08:47:00,1010.80,52.0,51.2,97,5,210,1011.63,50.4,46.8,87,,212
2020-02-01 08:52:00,1011.30,52.0,51.2,97,5,190,1012.20,50.4,46.8,87,,211
2020-02-01 08:57:00,1011.40,52.0,51.2,97,5,116,1012.16,50.4,46.8,87,,211
2020-02-01 09:12:00,1011.90,52.0,51.2,96,5,181,,,,,,
2020-02-01 09:27:00,1010.80,52.0,51.2,96,5,142,,,,,,
2020-02-01 09:42:00,1010.20,52.0,51.2,97,7,121,1010.90,50.3,48.6,93,,213
2020-02-01 09:47:00,1010.40,52.0,51.2,97,8,179,1011.28,50.3,48.6,93,,212
2020-02-01 09:52:00,1010.40,52.0,51.2,97,8,207,1011.28,50.3,48.6,93,,211
2020-02-01 09:57:00,1010.40,52.0,51.2,97,8,180,1011.28,50.3,48.6,93,,211
2020-02-01 10:12:00,1011.20,52.0,51.2,96,5,301,,,,,,
2020-02-01 10:27:00,1011.30,52.0,51.2,96,4,169,,,,,,
2020-02-01 10:42:00,1010.60,51.0,50.2,97,4,213,1010.95,50.2,48.4,93,,213
2020-02-01 10:47:00,1011.10,51.0,50.2,97,4,181,1011.68,50.2,48.4,93,,212
2020-02-01 10:52:00,1011.00,51.0,50.2,97,4,172,1011.68,50.2,48.4,93,,211
2020-02-01 10:57:00,1010.70,51.0,50.2,97,3,184,1011.68,50.2,48.4,93,,211
2020-02-01 11:12:00,1011.00,51.0,50.2,97,3,150,,,,,,
2020-02-01 11:27:00,1011.00,51.0,50.2,97,3,187,,,,,,
2020-02-01 11:42:00,1010.60,51.0,50.2,97,6,176,1010.58,50.2,48.8,94,,213
2020-02-01 11:47:00,1010.40,51.0,50.5,98,6,167,1010.58,50.2,48.8,94,,212
2020-02-01 11:52:00,1010.30,52.0,51.2,97,6,155,1010.58,50.2,48.8,94,,212
2020-02-01 11:57:00,1010.30,52.0,51.2,97,7,139,1010.61,50.2,48.8,94,,212
2020-02-01 12:12:00,1010.50,52.0,51.2,96,6,149,,,,,,
2020-02-01 12:27:00,1010.40,52.0,50.9,95,8,179,,,,,,
2020-02-01 12:42:00,1010.60,52.0,50.9,96,8,205,1010.72,50.3,48.5,93,,213
2020-02-01 12:47:00,1010.40,52.0,50.9,96,9,131,1010.69,50.3,48.5,93,,212
2020-02-01 12:52:00,1010.60,52.0,50.9,96,8,130,1011.29,50.3,48.5,93,,211
2020-02-01 12:57:00,1010.50,52.0,50.9,96,7,165,1011.29,50.3,48.5,93,,211
2020-02-01 13:12:00,1010.30,52.0,50.6,94,7,174,,,,,,
2020-02-01 13:27:00,1010.60,52.0,50.6,94,7,177,,,,,,
2020-02-01 13:42:00,1010.00,52.0,50.6,95,8,165,1010.48,50.3,47.3,89,,213
2020-02-01 13:47:00,1010.20,52.0,50.6,95,8,180,1010.48,50.3,47.3,89,,212
2020-02-01 13:52:00,1010.20,52.0,50.3,94,7,300,1011.03,50.3,47.3,89,,211
2020-02-01 13:57:00,1010.40,52.0,50.3,94,7,134,1011.03,50.3,47.3,89,,211
2020-02-01 14:12:00,1010.40,52.0,50.3,94,7,142,,,,,,
2020-02-01 14:27:00,1010.50,52.0,50.0,93,6,214,,,,,,
2020-02-01 14:42:00,1010.70,52.0,50.0,93,5,210,,,,,,
2020-02-01 14:57:00,1011.30,52.0,50.3,94,4,257,,,,,,
2020-02-01 15:12:00,1011.10,52.0,50.0,93,5,160,,,,,,
2020-02-01 15:27:00,1011.60,52.0,50.3,94,3,139,,,,,,
2020-02-01 15:42:00,1011.90,52.0,50.6,94,2,221,,,,,,
2020-02-01 15:57:00,1012.00,52.0,50.6,94,2,204,,,,,,
2020-02-01 16:12:00,1012.10,52.0,50.6,94,1,219,,,,,,
2020-02-01 16:27:00,1012.60,52.0,50.6,94,0,321,,,,,,
2020-02-01 16:42:00,1013.40,51.0,49.6,95,1,283,,,,,,
2020-02-01 16:57:00,1013.60,50.0,48.9,95,2,20,,,,,,
2020-02-01 17:12:00,1014.70,49.0,47.6,94,2,29,,,,,,
2020-02-01 17:27:00,1015.00,48.0,46.1,92,2,26,,,,,,
2020-02-01 17:42:00,1015.70,47.0,45.4,93,0,46,,,,,,
2020-02-01 17:57:00,1016.00,47.0,45.4,93,3,176,,,,,,
2020-02-01 18:12:00,1016.70,47.0,45.9,96,3,30,,,,,,
2020-02-01 18:27:00,1017.20,46.0,44.9,95,5,52,,,,,,
2020-02-01 18:42:00,1017.50,46.0,44.9,95,3,25,,,,,,
2020-02-01 18:57:00,1018.00,46.0,44.6,95,4,46,,,,,,
2020-02-01 19:12:00,1018.20,46.0,44.4,93,6,35,,,,,,
2020-02-01 19:27:00,1018.60,46.0,44.4,93,3,41,,,,,,
2020-02-01 19:42:00,1018.40,46.0,44.1,92,6,48,,,,,,
2020-02-01 19:57:00,1018.80,45.0,43.1,93,7,114,,,,,,
2020-02-01 20:12:00,1018.80,45.0,43.4,94,8,104,,,,,,
2020-02-01 20:27:00,1019.00,45.0,43.1,93,8,53,,,,,,
2020-02-01 20:42:00,1019.10,45.0,42.8,92,10,33,,,,,,
2020-02-01 20:57:00,1019.00,45.0,42.5,90,6,19,,,,,,
2020-02-01 21:12:00,1018.80,45.0,42.5,90,8,80,,,,,,
2020-02-01 21:27:00,1019.10,45.0,42.2,90,8,335,,,,,,
2020-02-01 21:42:00,1019.20,45.0,41.4,87,8,58,,,,,,
2020-02-01 21:57:00,1019.40,45.0,41.4,87,8,25,,,,,,
2020-02-01 22:12:00,1019.90,45.0,41.1,86,6,29,,,,,,
2020-02-01 22:27:00,1020.00,44.0,39.8,84,6,36,,,,,,
2020-02-01 22:42:00,1020.30,44.0,40.7,88,5,52,,,,,,
2020-02-01 22:57:00,1020.40,44.0,40.7,88,5,84,,,,,,
2020-02-01 23:12:00,1020.50,44.0,40.4,86,7,96,,,,,,
2020-02-01 23:27:00,1020.60,45.0,41.7,87,3,82,,,,,,
