"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-02-01 07:30:00,1009.30,53.0,49.2,86,12,86,,,,,,
2020-02-01 07:35:00,1009.30,53.0,49.2,86,13,132,,,,,,
2020-02-01 10:30:00,1009.30,53.0,49.2,86,11,94,,,,,,
2020-02-01 10:40:00,1008.40,53.0,49.5,88,8,124,1010.16,51.4,49.0,91,,211
2020-02-01 10:45:00,1009.00,52.0,48.6,88,6,112,1010.44,51.4,49.0,91,,213
2020-02-01 10:50:00,1008.80,52.0,48.6,88,2,125,1010.63,51.4,49.0,91,,212
2020-02-01 10:55:00,1008.80,52.0,48.6,88,4,129,1010.52,51.4,49.0,91,,212
2020-02-01 11:00:00,1008.60,52.0,48.6,88,18,152,,,,,,
2020-02-01 11:15:00,1008.90,52.0,48.6,88,10,133,,,,,,
2020-02-01 11:30:00,1008.90,52.0,48.6,88,5,129,,,,,,
2020-02-01 11:40:00,1008.30,52.0,48.6,88,2,132,1010.18,51.4,48.9,91,,213
2020-02-01 11:45:00,1008.10,52.0,48.6,88,13,106,1010.18,51.4,48.9,91,,212
2020-02-01 11:50:00,1008.50,52.0,48.6,88,4,115,1010.21,51.4,48.9,91,,212
2020-02-01 11:55:00,1008.70,52.0,48.6,88,13,150,1010.40,51.4,48.9,91,,212
2020-02-01 12:00:00,1008.70,52.0,48.6,88,5,154,,,,,,
2020-02-01 12:15:00,1008.50,52.0,48.6,88,8,119,,,,,,
2020-02-01 12:30:00,1008.10,52.0,48.6,88,11,145,,,,,,
2020-02-01 12:40:00,1008.40,52.0,48.9,89,13,133,1010.16,51.1,48.6,91,,218
2020-02-01 12:45:00,1008.50,52.0,48.9,89,3,105,1010.31,51.1,48.6,91,,212
2020-02-01 12:50:00,1008.20,52.0,48.9,89,7,128,1010.16,51.1,48.6,91,,212
2020-02-01 12:55:00,1008.20,52.0,48.9,89,6,152,1010.16,51.1,48.6,91,,212
2020-02-01 13:00:00,1008.20,52.0,48.9,89,3,125,,,,,,
2020-02-01 13:15:00,1008.30,52.0,48.6,88,6,138,,,,,,
2020-02-01 13:30:00,1008.20,52.0,48.6,88,9,124,,,,,,
2020-02-01 13:40:00,1008.10,52.0,48.6,88,1,158,1010.03,51.0,48.4,90,,219
2020-02-01 13:45:00,1008.10,52.0,48.6,88,7,127,1010.03,51.0,48.4,90,,212
2020-02-01 13:50:00,1008.30,52.0,48.6,88,13,117,1010.03,51.0,48.4,90,,212
2020-02-01 13:55:00,1008.50,52.0,48.6,88,13,135,1010.24,51.0,48.4,90,,212
2020-02-01 14:00:00,1008.40,52.0,48.6,88,10,127,,,,,,
2020-02-01 14:15:00,1008.40,52.0,48.6,88,6,123,,,,,,
2020-02-01 14:30:00,1008.70,52.0,48.6,88,0,135,,,,,,
2020-02-01 14:45:00,1009.30,52.0,48.9,89,1,202,,,,,,
2020-02-01 15:00:00,1010.00,52.0,48.9,89,6,117,,,,,,
2020-02-01 15:15:00,1010.40,52.0,48.9,89,2,176,,,,,,
2020-02-01 15:30:00,1011.60,51.0,47.3,87,0,229,,,,,,
2020-02-01 15:45:00,1011.70,47.0,43.9,89,7,254,,,,,,
2020-02-01 16:00:00,1011.80,47.0,44.2,89,7,242,,,,,,
2020-02-01 16:15:00,1011.90,47.0,43.6,87,6,242,,,,,,
2020-02-01 16:30:00,1012.10,47.0,42.7,85,8,271,,,,,,
2020-02-01 16:45:00,1012.60,47.0,42.4,84,9,236,,,,,,
2020-02-01 17:00:00,1012.80,47.0,42.7,85,13,242,,,,,,
2020-02-01 17:15:00,1013.30,46.0,41.4,83,6,241,,,,,,
2020-02-01 17:30:00,1013.80,46.0,40.5,80,4,306,,,,,,
2020-02-01 17:45:00,1014.20,47.0,41.5,81,2,243,,,,,,
2020-02-01 18:00:00,1014.80,47.0,41.1,79,4,323,,,,,,
2020-02-01 18:15:00,1015.20,47.0,40.5,77,1,116,,,,,,
2020-02-01 18:30:00,1015.80,47.0,40.8,78,2,201,,,,,,
2020-02-01 18:45:00,1016.60,46.0,40.5,80,0,181,,,,,,
2020-02-01 19:00:00,1017.10,45.0,40.5,83,0,201,,,,,,
2020-02-01 19:15:00,1017.40,45.0,40.8,85,1,220,,,,,,
2020-02-01 19:30:00,1017.50,45.0,41.1,86,0,340,,,,,,
2020-02-01 19:45:00,1017.60,44.0,40.1,86,4,360,,,,,,
2020-02-01 20:00:00,1017.60,45.0,41.7,87,0,345,,,,,,
2020-02-01 20:15:00,1017.90,44.0,40.4,86,0,243,,,,,,
