"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-02-01 07:25:00,1010.40,52.0,50.9,95,2,270,,,,,,
2020-02-01 07:45:00,1010.60,51.0,50.2,96,2,248,1011.47,50.0,48.7,95,,214
2020-02-01 07:55:00,1009.80,51.0,50.2,96,2,248,1011.33,50.0,48.7,95,,214
2020-02-01 08:15:00,1010.20,51.0,50.2,97,3,270,,,,,,
2020-02-01 08:25:00,1010.20,51.0,50.2,97,1,225,,,,,,
2020-02-01 08:45:00,1009.90,51.0,50.2,96,2,203,1011.75,50.0,46.6,88,,214
2020-02-01 08:55:00,1010.40,51.0,50.2,96,2,248,1011.72,50.0,46.6,88,,214
2020-02-01 09:15:00,1011.20,51.0,50.5,97,2,225,,,,,,
2020-02-01 09:25:00,1010.20,51.0,50.2,97,1,68,,,,,,
2020-02-01 09:45:00,1009.60,51.0,50.5,97,2,203,1010.81,49.6,48.6,96,,214
2020-02-01 09:55:00,1009.60,51.0,50.5,97,1,225,1010.81,49.6,48.6,96,,214
2020-02-01 10:15:00,1010.20,51.0,50.5,97,1,180,,,,,,
2020-02-01 10:25:00,1010.40,51.0,50.5,97,2,180,,,,,,
2020-02-01 10:45:00,1010.50,51.0,50.5,97,1,90,1011.92,49.4,48.4,96,,214
2020-02-01 10:55:00,1009.90,51.0,50.5,97,0,90,1011.27,49.4,48.4,96,,214
2020-02-01 11:15:00,1010.30,51.0,50.5,97,2,180,,,,,,
2020-02-01 11:25:00,1009.90,51.0,50.5,97,0,225,,,,,,
2020-02-01 11:45:00,1009.60,51.0,50.5,97,2,203,1011.11,49.5,49.1,98,,214
2020-02-01 11:55:00,1009.40,51.0,50.5,97,3,158,1011.14,49.5,49.1,98,,214
2020-02-01 12:15:00,1009.80,51.0,50.5,97,2,248,,,,,,
2020-02-01 12:25:00,1009.50,51.0,50.5,97,2,248,,,,,,
2020-02-01 12:45:00,1009.60,51.0,50.5,97,1,293,1011.16,49.6,48.5,95,,214
2020-02-01 12:55:00,1009.70,51.0,50.5,97,3,203,1010.89,49.6,48.5,95,,214
2020-02-01 13:15:00,1009.30,51.0,50.5,97,1,270,,,,,,
2020-02-01 13:25:00,1009.70,51.0,50.5,97,1,225,,,,,,
2020-02-01 13:45:00,1009.10,51.0,50.5,97,2,158,1010.70,49.6,47.0,90,,214
2020-02-01 13:55:00,1009.40,51.0,50.5,97,1,158,1010.70,49.6,47.0,90,,214
2020-02-01 14:15:00,1009.20,51.0,50.5,97,1,203,,,,,,
2020-02-01 14:25:00,1009.30,51.0,50.2,97,1,270,,,,,,
2020-02-01 14:45:00,1010.00,51.0,50.2,97,1,225,,,,,,
2020-02-01 14:55:00,1009.90,51.0,50.5,97,2,248,,,,,,
2020-02-01 15:15:00,1010.40,51.0,50.2,97,1,315,,,,,,
2020-02-01 15:25:00,1010.10,51.0,50.5,97,2,203,,,,,,
2020-02-01 15:45:00,1010.60,51.0,50.5,97,0,90,,,,,,
2020-02-01 15:55:00,1010.90,51.0,50.5,97,0,248,,,,,,
2020-02-01 16:15:00,1011.10,51.0,50.5,97,0,203,,,,,,
2020-02-01 16:25:00,1011.40,51.0,50.2,97,0,203,,,,,,
2020-02-01 16:45:00,1012.10,50.0,49.2,96,0,,,,,,,
2020-02-01 16:55:00,1012.60,50.0,49.2,96,0,225,,,,,,
2020-02-01 17:15:00,1013.50,50.0,48.9,95,0,158,,,,,,
2020-02-01 17:25:00,1013.90,49.0,47.9,96,0,0,,,,,,
2020-02-01 17:45:00,1014.40,49.0,47.9,96,0,,,,,,,
2020-02-01 17:55:00,1014.80,48.0,46.9,95,0,,,,,,,
2020-02-01 18:15:00,1015.20,48.0,46.9,95,1,23,,,,,,
2020-02-01 18:25:00,1015.60,48.0,46.9,95,0,,,,,,,
2020-02-01 18:45:00,1016.30,48.0,47.2,97,0,23,,,,,,
2020-02-01 18:55:00,1016.70,48.0,47.2,97,0,23,,,,,,
2020-02-01 19:15:00,1016.90,48.0,46.4,94,1,135,,,,,,
2020-02-01 19:25:00,1017.10,48.0,46.4,94,0,68,,,,,,
2020-02-01 19:45:00,1017.10,47.0,45.1,92,1,90,,,,,,
2020-02-01 19:55:00,1017.40,47.0,45.1,92,1,23,,,,,,
2020-02-01 20:15:00,1017.60,47.0,45.1,92,2,45,,,,,,
2020-02-01 20:25:00,1017.50,47.0,44.8,92,1,113,,,,,,
2020-02-01 20:45:00,1017.60,47.0,44.8,92,3,113,,,,,,
2020-02-01 20:55:00,1017.50,46.0,43.5,90,1,113,,,,,,
2020-02-01 21:15:00,1017.40,46.0,43.5,90,1,68,,,,,,
2020-02-01 21:25:00,1017.70,46.0,43.5,90,2,90,,,,,,
2020-02-01 21:45:00,1017.90,46.0,43.2,89,2,113,,,,,,
2020-02-01 21:55:00,1018.00,45.0,42.0,89,3,23,,,,,,
2020-02-01 22:15:00,1018.50,45.0,41.7,87,2,68,,,,,,
2020-02-01 22:25:00,1018.70,45.0,41.7,87,3,68,,,,,,
2020-02-01 22:45:00,1018.70,44.0,41.0,89,2,90,,,,,,
2020-02-01 22:55:00,1019.00,44.0,40.7,88,3,113,,,,,,
2020-02-01 23:15:00,1019.20,44.0,40.4,86,5,113,,,,,,
2020-02-01 23:25:00,1019.40,43.0,39.7,87,3,113,,,,,,
2020-02-01 23:45:00,1019.50,43.0,40.0,88,2,90,,,,,,
2020-02-01 23:55:00,1019.50,43.0,40.0,88,2,68,,,,,,
2020-02-02 00:05:00,1019.50,43.0,39.4,86,2,90,1021.18,40.8,38.7,92,2.5,57
2020-02-02 00:15:00,1019.60,43.0,39.7,87,3,90,1021.18,40.8,38.7,92,2.5,57
2020-02-02 00:25:00,1019.60,43.0,39.7,87,3,45,1021.18,40.8,38.7,92,2.5,57
2020-02-02 00:35:00,1019.90,42.0,39.0,89,3,68,1021.12,40.8,38.7,92,2.5,57
2020-02-02 00:45:00,1020.20,42.0,39.0,89,2,113,1021.82,38.3,37.6,97,3.7,100
2020-02-02 00:55:00,1020.20,42.0,39.0,89,2,68,1021.80,38.3,37.6,97,3.7,100
2020-02-02 01:05:00,1020.40,41.0,38.3,90,2,90,1021.80,38.3,37.6,97,3.7,100
2020-02-02 01:15:00,1020.60,41.0,38.3,90,3,90,1021.80,38.3,37.6,97,3.7,100
2020-02-02 01:25:00,1020.60,41.0,38.6,91,1,135,1021.80,38.3,37.6,97,3.2,105
2020-02-02 01:35:00,1020.40,40.0,37.6,90,2,113,1021.74,38.3,37.6,97,3.2,105
2020-02-02 01:45:00,1020.70,40.0,37.9,92,2,90,1022.57,35.9,35.2,97,3.7,85
2020-02-02 01:55:00,1020.80,40.0,37.9,92,1,113,1022.55,35.9,35.2,97,3.7,85
2020-02-02 02:05:00,1021.00,39.0,36.9,92,2,68,1022.53,35.9,35.2,97,3.7,85
2020-02-02 02:15:00,1021.10,39.0,36.9,92,1,113,1022.41,35.9,35.2,97,3.7,85
2020-02-02 02:25:00,1021.30,39.0,36.9,92,2,113,1022.31,35.9,35.2,97,3.7,85
2020-02-02 02:35:00,1021.50,39.0,36.9,92,1,90,1023.24,35.9,35.2,97,1.8,100
2020-02-02 02:45:00,1021.40,39.0,36.9,92,2,90,1022.96,34.9,34.6,98,1.0,77
2020-02-02 02:55:00,1021.50,39.0,36.9,92,1,90,1022.96,34.9,34.6,98,1.0,77
2020-02-02 03:05:00,1021.60,39.0,36.9,92,1,45,1022.81,34.9,34.6,98,1.0,77
2020-02-02 03:15:00,1021.70,38.0,35.9,92,0,113,1022.81,34.9,34.6,98,1.0,77
2020-02-02 03:25:00,1021.80,38.0,35.9,92,1,158,1022.81,34.9,34.6,98,1.0,77
2020-02-02 03:35:00,1021.90,38.0,35.9,92,0,135,1022.81,34.9,34.6,98,1.0,77
2020-02-02 03:45:00,1021.80,38.0,36.2,92,0,68,1023.60,33.4,33.0,98,0.4,267
2020-02-02 03:55:00,1022.00,37.0,35.2,92,0,90,1023.48,33.4,33.0,98,0.4,267
2020-02-02 04:05:00,1022.00,37.0,35.2,92,1,90,1023.45,33.4,33.0,98,0.4,267
2020-02-02 04:15:00,1021.90,37.0,35.2,92,0,90,1023.36,33.4,33.0,98,0.4,267
2020-02-02 04:25:00,1022.00,37.0,35.2,92,0,90,1023.32,33.4,33.0,98,0.4,267
2020-02-02 04:35:00,1022.10,37.0,35.4,94,,,1023.34,33.4,33.0,98,,
2020-02-02 04:45:00,1022.10,36.0,34.2,93,,,1023.58,35.0,33.5,94,,
2020-02-02 04:55:00,1022.30,36.0,34.2,93,,,1023.48,35.0,33.5,94,,
2020-02-02 05:05:00,1022.50,36.0,34.4,93,,,1023.63,35.0,33.5,94,,
2020-02-02 05:15:00,1022.50,36.0,34.4,93,,,1023.68,35.0,33.5,94,,
2020-02-02 05:25:00,1022.50,36.0,34.4,93,,,1023.61,35.0,33.5,94,,
2020-02-02 05:35:00,1022.50,36.0,34.7,94,0,90,1023.46,35.0,33.5,94,0.6,100
2020-02-02 05:45:00,1022.60,36.0,34.7,94,,,1023.57,34.6,33.3,94,,
2020-02-02 05:55:00,1022.70,36.0,34.7,94,,,1023.60,34.6,33.3,94,,
2020-02-02 06:05:00,1022.60,36.0,34.7,94,,,1023.60,34.6,33.3,94,,
2020-02-02 06:15:00,1022.70,36.0,34.7,94,,,1023.60,34.6,33.3,94,,
2020-02-02 06:25:00,1022.70,37.0,35.7,94,,,1023.60,34.6,33.3,94,,
2020-02-02 06:35:00,1022.80,37.0,35.7,94,,,1023.60,34.6,33.3,94,,
2020-02-02 06:45:00,1022.80,37.0,35.7,94,,,1024.07,33.9,32.9,96,,
2020-02-02 06:55:00,1022.90,36.0,34.4,93,,,1024.07,33.9,32.9,96,,
2020-02-02 07:05:00,1022.90,36.0,34.4,93,,,1024.07,33.9,32.9,96,,
2020-02-02 07:15:00,1023.10,36.0,34.7,94,,,1024.07,33.9,32.9,96,,
2020-02-02 07:25:00,1023.00,36.0,34.4,93,,,1024.07,33.9,32.9,96,,
2020-02-02 07:35:00,1023.00,36.0,34.4,93,,,1024.04,33.9,32.9,96,,
2020-02-02 07:45:00,1023.10,36.0,34.7,94,,,1024.34,33.7,32.1,93,,
2020-02-02 07:55:00,1023.20,36.0,34.7,94,,,1024.34,33.7,32.1,93,,
2020-02-02 08:05:00,1023.10,36.0,34.7,94,,,1024.21,33.7,32.1,93,,
2020-02-02 08:15:00,1023.00,36.0,34.7,94,,,1024.01,33.7,32.1,93,,
2020-02-02 08:25:00,1022.90,35.0,33.7,95,,,1024.01,33.7,32.1,93,,
2020-02-02 08:35:00,1023.10,35.0,33.7,95,1,360,1023.70,33.7,32.1,93,0.0,118
2020-02-02 08:45:00,1022.80,35.0,33.7,95,,,1023.89,33.3,32.7,97,,
2020-02-02 08:55:00,1022.80,35.0,33.7,95,,,1023.92,33.3,32.7,97,,
2020-02-02 09:05:00,1022.70,35.0,33.7,95,,,1023.92,33.3,32.7,97,,
2020-02-02 09:15:00,1022.70,35.0,33.7,95,,,1023.70,33.3,32.7,97,,
2020-02-02 09:25:00,1022.50,35.0,33.7,95,,,1023.74,33.3,32.7,97,,
2020-02-02 09:35:00,1022.70,35.0,33.7,95,,,1023.74,33.3,32.7,97,,
2020-02-02 09:45:00,1022.70,35.0,33.7,95,,,1023.75,32.9,32.4,97,,
2020-02-02 09:55:00,1022.80,35.0,33.7,95,,,1023.75,32.9,32.4,97,,
2020-02-02 10:05:00,1022.90,35.0,33.7,95,,,1023.57,32.9,32.4,97,,
2020-02-02 10:15:00,1022.90,35.0,33.7,95,,,1023.61,32.9,32.4,97,,
2020-02-02 10:25:00,1022.90,35.0,33.7,95,,,1023.61,32.9,32.4,97,,
2020-02-02 10:35:00,1022.80,35.0,34.0,95,,,1023.61,32.9,32.4,97,,
2020-02-02 10:45:00,1022.70,35.0,34.0,95,,,1023.74,32.7,32.3,98,,
2020-02-02 10:55:00,1022.80,34.0,32.7,94,,,1023.74,32.7,32.3,98,,
2020-02-02 11:05:00,1022.90,34.0,32.7,94,,,1023.74,32.7,32.3,98,,
2020-02-02 11:15:00,1022.70,34.0,32.7,94,,,1023.74,32.7,32.3,98,,
2020-02-02 11:25:00,1022.60,34.0,32.7,94,,,1023.74,32.7,32.3,98,,
2020-02-02 11:35:00,1022.50,34.0,33.0,95,,,1023.74,32.7,32.3,98,,
2020-02-02 11:45:00,1022.30,34.0,33.0,95,,,1023.69,30.8,30.3,97,,
2020-02-02 11:55:00,1022.30,34.0,33.0,95,,,1023.69,30.8,30.3,97,,
2020-02-02 12:05:00,1022.30,34.0,32.7,94,,,1023.50,30.8,30.3,97,,
2020-02-02 12:15:00,1022.30,34.0,32.7,94,,,1023.50,30.8,30.3,97,,
2020-02-02 12:25:00,1022.40,33.0,31.7,94,,,1023.50,30.8,30.3,97,,
2020-02-02 12:35:00,1022.30,33.0,31.7,94,,,1023.35,30.8,30.3,97,,
2020-02-02 12:45:00,1022.40,33.0,32.0,95,,,1023.48,30.5,30.1,98,,
2020-02-02 12:55:00,1022.40,33.0,32.0,95,,,1023.27,30.5,30.1,98,,
2020-02-02 13:05:00,1022.30,33.0,32.0,95,,,1023.30,30.5,30.1,98,,
2020-02-02 13:15:00,1022.20,33.0,32.0,95,,,1023.30,30.5,30.1,98,,
2020-02-02 13:25:00,1022.20,33.0,32.0,95,,,1023.30,30.5,30.1,98,,
2020-02-02 13:35:00,1022.20,33.0,32.0,95,,,1023.30,30.5,30.1,98,,
2020-02-02 13:45:00,1022.30,33.0,32.0,95,,,1023.26,30.7,30.4,98,,
2020-02-02 13:55:00,1022.20,33.0,32.0,95,,,1023.26,30.7,30.4,98,,
2020-02-02 14:05:00,1022.30,33.0,32.2,96,,,1023.26,30.7,30.4,98,,
2020-02-02 14:15:00,1022.30,33.0,32.2,96,,,1023.26,30.7,30.4,98,,
2020-02-02 14:25:00,1022.20,33.0,32.2,96,,,1023.26,30.7,30.4,98,,
2020-02-02 14:35:00,1022.00,34.0,33.2,96,,,1023.26,30.7,30.4,98,,
2020-02-02 14:45:00,1021.90,34.0,33.2,96,0,23,1023.33,31.4,30.6,96,0.4,217
2020-02-02 14:55:00,1022.00,34.0,33.2,96,0,23,1023.33,31.4,30.6,96,0.4,217
2020-02-02 15:05:00,1021.80,34.0,33.2,96,0,158,1023.33,31.4,30.6,96,0.4,217
2020-02-02 15:15:00,1021.80,34.0,33.2,96,,,1023.33,31.4,30.6,96,,
2020-02-02 15:25:00,1021.90,34.0,33.2,96,,,1023.33,31.4,30.6,96,,
2020-02-02 15:35:00,1021.90,33.0,32.0,95,,,1023.33,31.4,30.6,96,,
2020-02-02 15:45:00,1022.00,33.0,32.0,95,0,158,1023.39,31.3,31.3,99,1.4,200
2020-02-02 15:55:00,1022.10,33.0,32.0,95,0,158,1023.39,31.3,31.3,99,1.4,200
2020-02-02 16:05:00,1021.90,33.0,32.0,95,,,1023.39,31.3,31.3,99,,
2020-02-02 16:15:00,1021.80,33.0,32.2,96,,,1023.39,31.3,31.3,99,,
2020-02-02 16:25:00,1021.70,33.0,32.2,96,,,1023.39,31.3,31.3,99,,
2020-02-02 16:35:00,1021.80,33.0,32.2,96,0,180,1023.16,31.3,31.3,99,1.4,200
2020-02-02 16:45:00,1021.90,33.0,32.2,96,1,158,1023.05,31.4,31.6,100,1.8,191
2020-02-02 16:55:00,1021.80,33.0,32.2,96,,,1023.05,31.4,31.6,100,,
2020-02-02 17:05:00,1021.90,34.0,33.2,96,0,180,1023.05,31.4,31.6,100,1.8,191
2020-02-02 17:15:00,1021.70,34.0,33.2,96,0,158,1023.05,31.4,31.6,100,1.8,191
2020-02-02 17:25:00,1021.60,34.0,33.2,96,,,1023.05,31.4,31.6,100,,
2020-02-02 17:35:00,1021.50,35.0,34.2,97,,,1023.05,31.4,31.6,100,,
2020-02-02 17:45:00,1021.50,35.0,34.0,95,0,180,1023.02,33.4,33.1,98,2.2,195
2020-02-02 17:55:00,1021.50,35.0,34.0,95,,,1023.02,33.4,33.1,98,,
2020-02-02 18:05:00,1021.60,36.0,34.7,94,2,180,1023.02,33.4,33.1,98,2.2,195
2020-02-02 18:15:00,1021.70,36.0,34.2,93,0,225,1022.85,33.4,33.1,98,2.2,195
2020-02-02 18:25:00,1021.60,36.0,34.2,93,0,203,1022.71,33.4,33.1,98,2.2,195
2020-02-02 18:35:00,1021.70,36.0,34.2,93,2,180,1022.76,33.4,33.1,98,2.2,195
2020-02-02 18:45:00,1021.70,37.0,34.9,92,3,158,1023.07,34.3,34.5,100,3.6,193
2020-02-02 18:55:00,1021.60,38.0,35.6,90,1,135,1022.94,34.3,34.5,100,3.6,193
2020-02-02 19:05:00,1021.50,37.0,34.6,90,1,203,1022.74,34.3,34.5,100,3.6,193
2020-02-02 19:15:00,1021.50,37.0,34.6,90,0,203,1022.74,34.3,34.5,100,3.6,193
2020-02-02 19:25:00,1021.50,37.0,34.9,92,1,158,1022.74,34.3,34.5,100,3.6,193
2020-02-02 19:35:00,1021.60,37.0,34.3,89,1,135,1022.46,34.3,34.5,100,3.6,193
2020-02-02 19:45:00,1021.50,38.0,35.6,90,0,180,1022.55,37.3,34.5,89,1.7,170
2020-02-02 19:55:00,1021.40,39.0,35.8,87,0,203,1022.50,37.3,34.5,89,1.7,170
2020-02-02 20:05:00,1021.30,38.0,35.0,88,1,113,1022.29,37.3,34.5,89,1.7,170
