"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-02-01 07:13:00,1012.20,51.0,50.2,97,2,97,,,,,,
2020-02-01 07:28:00,1012.50,51.0,50.2,97,2,97,,,,,,
2020-02-01 07:44:00,1012.10,51.0,50.2,97,2,97,1011.44,50.3,48.9,94,,212
2020-02-01 07:49:00,1012.10,51.0,50.2,97,2,97,1011.40,50.3,48.9,94,,212
2020-02-01 07:55:00,1011.50,51.0,50.2,97,2,97,1011.31,50.3,48.9,94,,212
2020-02-01 08:00:00,1011.80,51.0,50.2,97,2,97,,,,,,
2020-02-01 08:15:00,1012.20,51.0,50.2,97,2,97,,,,,,
2020-02-01 08:30:00,1012.20,51.0,50.2,97,2,97,,,,,,
2020-02-01 08:45:00,1011.80,51.0,50.2,97,1,97,1011.55,50.0,47.0,89,,212
2020-02-01 08:47:00,1011.50,51.0,50.2,97,3,97,1012.03,50.0,47.0,89,,212
2020-02-01 08:52:00,1012.00,51.0,50.2,97,2,97,1012.11,50.0,47.0,89,,212
2020-02-01 08:57:00,1012.00,51.0,50.2,97,2,97,1012.03,50.0,47.0,89,,212
2020-02-01 09:15:00,1012.90,51.0,50.2,97,1,97,,,,,,
2020-02-01 09:28:00,1011.50,51.0,50.2,97,2,97,,,,,,
2020-02-01 09:45:00,1011.20,50.0,49.2,96,2,97,1011.17,49.9,48.7,95,,213
2020-02-01 09:48:00,1010.70,51.0,50.2,97,2,97,1011.17,49.9,48.7,95,,212
2020-02-01 09:53:00,1010.90,51.0,50.2,97,2,97,1011.17,49.9,48.7,95,,212
2020-02-01 09:59:00,1011.10,51.0,50.2,97,2,97,1011.17,49.9,48.7,95,,212
2020-02-01 10:14:00,1011.70,51.0,50.2,97,2,97,,,,,,
2020-02-01 10:30:00,1011.70,51.0,50.2,97,2,97,,,,,,
2020-02-01 10:40:00,1011.10,51.0,50.2,97,3,97,1010.86,49.6,48.4,95,,214
2020-02-01 10:45:00,1011.50,51.0,50.2,97,2,97,,,,,,
2020-02-01 10:46:00,1012.00,50.0,49.2,96,2,97,1011.59,49.6,48.4,95,,212
2020-02-01 10:51:00,1011.60,51.0,50.2,97,2,97,1011.59,49.6,48.4,95,,212
2020-02-01 10:56:00,1011.40,51.0,50.2,97,3,97,1011.59,49.6,48.4,95,,212
2020-02-01 11:00:00,1011.50,50.0,49.2,96,2,97,,,,,,
2020-02-01 11:11:00,1011.50,51.0,50.2,97,2,97,,,,,,
2020-02-01 11:31:00,1011.90,50.0,49.5,98,2,97,,,,,,
2020-02-01 11:43:00,1011.10,51.0,50.5,97,2,97,1010.48,49.8,49.1,97,,213
2020-02-01 11:48:00,1010.90,51.0,50.5,97,2,97,1010.48,49.8,49.1,97,,212
2020-02-01 11:54:00,1011.00,51.0,50.5,97,2,97,1010.51,49.8,49.1,97,,212
2020-02-01 11:59:00,1011.00,51.0,50.5,97,2,97,1011.07,49.8,49.1,97,,212
2020-02-01 12:14:00,1011.20,51.0,50.5,97,3,97,,,,,,
2020-02-01 12:30:00,1010.90,51.0,50.5,97,3,97,,,,,,
2020-02-01 12:41:00,1011.00,51.0,50.5,97,2,97,1010.64,49.9,48.5,95,,213
2020-02-01 12:46:00,1011.20,51.0,50.5,97,3,97,1011.18,49.9,48.5,95,,212
2020-02-01 12:51:00,1011.10,51.0,50.5,97,3,97,1011.18,49.9,48.5,95,,212
2020-02-01 12:56:00,1011.10,51.0,50.5,97,2,97,1011.23,49.9,48.5,95,,212
2020-02-01 13:15:00,1011.20,50.0,49.2,96,2,97,,,,,,
2020-02-01 13:28:00,1011.20,51.0,50.2,97,3,97,,,,,,
2020-02-01 13:44:00,1010.50,51.0,50.2,97,2,97,1010.41,49.9,47.3,90,,213
2020-02-01 13:49:00,1010.80,51.0,50.2,97,2,97,1011.00,49.9,47.3,90,,212
2020-02-01 13:54:00,1010.90,51.0,50.2,97,2,97,1010.94,49.9,47.3,90,,212
2020-02-01 14:00:00,1011.40,50.0,49.2,96,2,97,,,,,,
2020-02-01 14:15:00,1011.00,51.0,50.2,97,2,97,,,,,,
2020-02-01 14:26:00,1011.00,51.0,50.2,97,2,97,,,,,,
2020-02-01 14:45:00,1011.80,50.0,49.2,96,1,97,,,,,,
2020-02-01 14:57:00,1012.10,51.0,50.2,97,2,97,,,,,,
2020-02-01 15:14:00,1012.00,50.0,49.2,96,1,97,,,,,,
2020-02-01 15:29:00,1012.10,50.0,49.2,96,1,97,,,,,,
2020-02-01 15:45:00,1012.30,51.0,50.2,97,0,97,,,,,,
2020-02-01 16:01:00,1012.50,51.0,50.2,97,0,97,,,,,,
2020-02-01 16:11:00,1012.80,51.0,50.2,97,0,97,,,,,,
2020-02-01 16:26:00,1013.40,50.0,49.2,96,1,97,,,,,,
2020-02-01 16:45:00,1014.60,48.0,46.9,95,0,97,,,,,,
2020-02-01 16:58:00,1014.70,47.0,45.9,96,1,97,,,,,,
2020-02-01 17:15:00,1016.00,46.0,44.9,95,0,97,,,,,,
2020-02-01 17:31:00,1016.20,46.0,44.9,95,0,97,,,,,,
2020-02-01 17:45:00,1016.60,45.0,43.9,96,1,97,,,,,,
2020-02-01 18:00:00,1017.00,46.0,44.9,95,1,97,,,,,,
2020-02-01 18:15:00,1017.20,46.0,44.9,95,0,97,,,,,,
