"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-02-07 19:00:00,1018.30,51.0,50.7,99,11,203,,,,,,
2020-02-07 19:10:00,1018.10,51.0,50.7,99,8,239,,,,,,
2020-02-07 19:30:00,1017.90,51.0,50.7,99,6,217,,,,,,
2020-02-07 19:40:00,1018.10,51.0,50.7,99,6,280,,,,,,
2020-02-07 20:00:00,1018.30,51.0,50.7,99,4,203,,,,,,
2020-02-07 20:10:00,1018.50,51.0,50.7,99,2,113,,,,,,
2020-02-07 20:30:00,1018.60,51.0,50.7,99,6,206,,,,,,
2020-02-07 20:40:00,1018.30,51.0,50.7,99,9,231,,,,,,
2020-02-07 21:00:00,1017.50,51.0,50.7,99,4,293,,,,,,
2020-02-07 21:10:00,1017.20,51.0,50.7,99,9,227,,,,,,
2020-02-07 21:30:00,1016.60,51.0,50.7,99,3,238,,,,,,
2020-02-07 21:40:00,1016.40,51.0,50.7,99,3,225,,,,,,
2020-02-07 22:00:00,1016.20,50.0,49.7,99,5,307,,,,,,
2020-02-07 22:10:00,1016.10,50.0,49.7,99,6,203,,,,,,
2020-02-07 22:30:00,1016.00,50.0,49.7,99,9,206,,,,,,
2020-02-07 22:40:00,1015.30,50.0,49.7,99,3,217,,,,,,
2020-02-07 23:00:00,1014.90,49.0,48.7,98,6,158,,,,,,
2020-02-07 23:10:00,1014.80,49.0,48.7,98,6,170,,,,,,
2020-02-07 23:30:00,1014.50,49.0,48.7,98,8,253,,,,,,
2020-02-07 23:40:00,1014.10,50.0,49.7,99,10,191,,,,,,
2020-02-08 00:10:00,1012.80,49.0,48.7,98,9,270,,,,,,
2020-02-08 00:30:00,1012.60,49.0,48.7,98,8,261,,,,,,
2020-02-08 00:40:00,1012.60,49.0,48.7,98,10,204,,,,,,
2020-02-08 01:00:00,1012.60,48.0,47.7,98,8,180,,,,,,
2020-02-08 01:10:00,1012.20,47.0,46.7,98,10,228,,,,,,
2020-02-08 01:30:00,1012.10,47.0,46.7,98,6,277,,,,,,
2020-02-08 01:40:00,1011.80,47.0,46.7,98,5,165,,,,,,
2020-02-08 02:00:00,1011.10,47.0,46.7,98,6,191,,,,,,
2020-02-08 02:10:00,1010.80,47.0,46.7,98,7,270,,,,,,
2020-02-08 02:30:00,1012.60,44.0,43.7,99,5,272,,,,,,
2020-02-08 02:40:00,1011.60,43.0,42.7,99,4,270,,,,,,
2020-02-08 03:00:00,1011.50,43.0,42.7,99,5,200,,,,,,
2020-02-08 03:10:00,1011.80,44.0,43.7,99,9,225,,,,,,
2020-02-08 03:30:00,1011.80,44.0,43.7,99,6,262,,,,,,
2020-02-08 03:40:00,1011.60,44.0,43.7,99,6,234,,,,,,
2020-02-08 04:00:00,,44.0,43.7,99,5,270,,,,,,
2020-02-08 04:10:00,1011.30,44.0,43.7,99,6,135,,,,,,
2020-02-08 04:30:00,1010.50,44.0,43.7,99,6,203,,,,,,
2020-02-08 04:40:00,1010.10,44.0,43.7,99,6,216,,,,,,
2020-02-08 05:00:00,1009.80,45.0,44.2,96,8,270,,,,,,
2020-02-08 05:10:00,1009.30,44.0,43.2,96,10,239,,,,,,
2020-02-08 05:30:00,1009.30,45.0,44.2,96,7,203,,,,,,
2020-02-08 05:40:00,1009.30,45.0,44.2,96,6,236,,,,,,
