"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-02-01 07:44:00,1013.90,51.8,50.0,93,12,240,1012.60,49.4,49.4,100,,31
2020-02-01 07:56:00,1013.20,51.1,50.0,96,11,220,1013.10,49.3,49.4,100,,21
2020-02-01 08:56:00,1013.60,51.1,50.0,96,14,210,1013.07,48.8,48.7,99,,33
2020-02-01 09:56:00,1012.90,50.0,50.0,100,13,200,1012.58,48.5,49.1,100,,215
2020-02-01 10:56:00,1012.50,50.0,48.9,96,9,200,1012.65,48.5,49.8,100,,229
2020-02-01 11:26:00,1012.50,50.0,48.2,93,14,210,1012.65,48.5,49.8,100,,229
2020-02-01 11:56:00,1012.20,50.0,48.9,96,15,210,1012.56,48.4,49.8,100,,234
2020-02-01 12:56:00,1012.20,51.1,48.9,92,17,210,1012.44,48.4,49.7,100,,279
2020-02-01 13:56:00,1012.20,51.1,48.9,92,14,210,1012.27,48.4,49.6,100,,216
2020-02-01 14:56:00,1012.87,51.1,50.0,96,15,200,,,,,,
2020-02-01 15:03:00,1012.53,51.8,50.0,93,15,200,,,,,,
2020-02-01 15:32:00,1013.21,51.8,48.2,87,17,210,,,,,,
2020-02-01 15:51:00,1013.21,50.0,46.4,87,16,210,,,,,,
2020-02-01 15:56:00,1013.21,50.0,46.9,89,16,200,,,,,,
2020-02-01 16:56:00,1014.56,46.9,45.0,93,17,200,,,,,,
2020-02-01 17:56:00,1016.93,46.0,42.1,86,17,210,,,,,,
2020-02-01 18:56:00,1018.63,46.0,42.1,86,15,220,,,,,,
2020-02-01 19:56:00,1019.30,46.9,41.0,79,13,210,,,,,,
2020-02-01 20:56:00,1019.64,48.0,41.0,76,16,210,,,,,,
2020-02-01 21:56:00,1019.98,46.0,39.0,76,14,210,,,,,,
2020-02-01 22:56:00,1021.00,45.0,37.0,73,13,200,,,,,,
2020-02-01 23:56:00,1021.34,44.1,36.0,72,13,220,,,,,,
2020-02-02 00:56:00,1022.00,42.1,32.0,67,8,220,1022.52,40.2,36.8,87,3.2,203
2020-02-02 02:56:00,1023.00,36.0,35.1,96,4,50,1023.10,36.7,36.3,98,0.4,222
2020-02-02 03:56:00,1023.70,33.1,32.0,95,2,50,1023.47,35.6,35.0,97,0.6,68
2020-02-02 04:11:00,1023.70,35.6,33.8,93,5,50,1023.47,35.6,35.0,97,0.6,68
2020-02-02 04:56:00,1024.10,35.1,34.0,95,5,50,1023.96,34.7,34.1,97,1.5,35
2020-02-02 05:56:00,1024.40,33.1,32.0,95,4,70,1024.00,34.3,33.8,98,0.4,262
2020-02-02 06:56:00,1024.70,30.9,30.9,100,0,0,1024.01,32.9,32.6,98,0.2,164
2020-02-02 07:56:00,1024.70,30.0,28.9,95,0,0,1024.52,32.3,32.4,100,0.7,281
2020-02-02 08:56:00,1024.70,28.9,28.0,96,0,0,1024.25,30.4,31.8,100,0.3,317
2020-02-02 09:56:00,1024.40,28.9,28.0,96,2,200,1023.98,30.4,31.5,100,1.4,240
2020-02-02 10:56:00,1024.70,27.0,27.0,99,0,0,1024.72,29.8,30.9,100,0.5,235
2020-02-02 11:24:00,1024.40,28.4,28.4,99,5,210,1024.72,29.8,30.9,100,0.5,217
2020-02-02 11:31:00,1024.40,28.4,28.4,99,5,210,1024.72,29.8,30.9,100,0.5,217
2020-02-02 11:35:00,1024.40,30.2,28.4,92,4,200,1024.72,29.8,30.9,100,0.5,217
2020-02-02 11:40:00,1024.40,30.2,28.4,92,2,200,1023.87,29.7,30.7,100,0.6,209
2020-02-02 11:56:00,1024.40,30.0,30.0,99,0,0,1023.87,29.7,30.7,100,0.6,227
2020-02-02 12:15:00,1024.10,30.2,30.2,99,0,0,1023.87,29.7,30.7,100,0.6,227
2020-02-02 12:32:00,1024.40,30.2,28.4,92,0,0,1023.87,29.7,30.7,100,0.6,227
2020-02-02 12:56:00,1024.10,30.0,28.9,95,0,0,1023.73,29.3,30.1,100,0.5,190
2020-02-02 13:15:00,1024.10,28.4,28.4,99,0,0,1023.73,29.3,30.1,100,0.5,190
2020-02-02 13:26:00,1024.10,30.2,28.4,92,2,140,1023.73,29.3,30.1,100,0.5,173
2020-02-02 13:42:00,1024.10,30.2,28.4,92,2,170,1023.70,29.6,29.3,99,0.8,194
2020-02-02 13:47:00,1024.10,30.2,30.2,99,4,150,1023.70,29.6,29.3,99,0.8,194
2020-02-02 13:49:00,1024.10,30.2,30.2,99,,,1023.70,29.6,29.3,99,,
2020-02-02 13:56:00,1024.10,30.0,30.0,99,0,0,1023.70,29.6,29.3,99,0.8,212
2020-02-02 14:20:00,1024.40,30.2,30.2,99,2,220,1023.70,29.6,29.3,99,0.8,194
2020-02-02 14:24:00,1024.40,30.2,30.2,99,0,0,1023.70,29.6,29.3,99,0.8,212
2020-02-02 14:48:00,1024.10,30.2,30.2,99,4,220,1023.55,29.1,30.6,100,0.6,239
2020-02-02 14:56:00,1024.10,30.9,30.9,100,4,210,1023.55,29.1,30.6,100,0.6,239
2020-02-02 15:16:00,1023.70,32.0,30.2,92,2,250,1023.55,29.1,30.6,100,0.6,239
2020-02-02 15:23:00,1024.10,32.0,30.2,92,2,230,1023.55,29.1,30.6,100,0.6,239
2020-02-02 15:56:00,,30.9,30.9,100,2,230,,29.5,30.5,100,2.2,189
2020-02-02 16:30:00,1024.10,32.0,30.2,92,4,220,1024.24,29.5,30.5,100,2.2,189
2020-02-02 16:53:00,1023.70,33.8,32.0,93,2,230,1023.51,30.9,30.5,98,1.8,217
2020-02-02 16:56:00,1023.70,33.1,33.1,100,4,240,1023.51,30.9,30.5,98,1.8,217
2020-02-02 17:51:00,1023.70,35.6,33.8,93,4,200,1023.57,32.5,31.3,95,1.9,183
2020-02-02 17:56:00,1023.70,35.1,34.0,95,6,200,1023.57,32.5,31.3,95,1.9,183
2020-02-02 18:34:00,1023.70,33.8,33.8,100,6,200,1023.57,32.5,31.3,95,1.9,183
2020-02-02 18:56:00,1023.70,35.1,34.0,95,6,210,1023.39,33.9,33.4,98,2.5,170
2020-02-02 19:56:00,1023.40,37.0,35.1,92,7,220,1023.02,35.1,35.0,99,2.2,165
2020-02-02 20:04:00,1023.40,37.4,37.4,99,6,200,1023.02,35.1,35.0,99,2.2,165
2020-02-02 20:56:00,1022.70,39.9,33.1,76,7,220,1022.67,37.4,35.0,90,1.4,179
2020-02-02 21:56:00,1021.70,42.1,33.1,70,7,180,1021.94,39.6,32.8,76,2.5,169
2020-02-02 22:56:00,1021.70,42.1,32.0,67,11,220,1021.50,40.1,33.4,76,3.3,185
2020-02-02 23:56:00,1021.30,42.1,32.0,67,11,210,1021.46,40.4,32.3,72,2.8,181
2020-02-03 00:56:00,1021.30,37.9,32.0,78,5,200,1021.18,39.0,32.3,76,159.2,354
2020-02-03 01:56:00,1021.70,37.0,30.9,78,6,200,1021.37,36.7,32.6,84,,214
2020-02-03 02:56:00,1022.40,36.0,30.9,81,7,200,1021.89,35.7,33.6,92,,282
2020-02-03 03:56:00,1022.40,36.0,30.9,81,6,200,1022.09,35.4,32.8,90,,258
2020-02-03 04:56:00,1022.70,34.0,30.9,88,6,220,1022.31,34.7,33.8,96,,33
2020-02-03 05:56:00,1022.70,35.1,32.0,88,6,190,1022.32,34.9,34.0,96,,215
2020-02-03 06:56:00,1022.70,32.0,30.9,95,5,210,1022.50,34.1,34.1,99,,347
2020-02-03 07:13:00,1022.70,32.0,30.2,92,6,210,1022.50,34.1,34.0,99,,347
2020-02-03 07:22:00,1023.00,32.0,30.2,92,7,210,1022.50,34.1,34.0,99,,347
2020-02-03 07:52:00,1023.00,33.8,32.0,93,4,230,1022.50,34.1,34.0,99,,32
2020-02-03 07:56:00,1023.00,33.1,32.0,95,5,240,1022.61,33.8,34.0,100,,238
2020-02-03 08:05:00,1023.40,33.8,32.0,93,4,250,1022.61,33.8,34.0,100,,238
2020-02-03 08:56:00,1023.40,35.1,33.1,92,0,0,1022.66,34.0,34.2,100,,232
2020-02-03 09:56:00,1023.00,34.0,33.1,96,0,0,1022.60,33.9,34.1,100,,47
2020-02-03 10:56:00,1023.40,35.1,33.1,92,0,0,1023.33,32.9,33.1,100,,237
