"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2020-02-01 07:25:00,1013.90,52.0,48.9,89,20,200,1013.94,53.5,51.1,91,,33
2020-02-01 07:34:00,1013.60,52.0,48.9,89,20,210,1013.94,53.5,51.1,91,,33
2020-02-01 07:53:00,1013.90,52.0,48.9,89,21,210,1013.94,53.5,51.1,91,248.9,184
2020-02-01 08:19:00,1013.60,51.1,48.9,92,21,200,1013.99,52.8,50.7,92,,35
2020-02-01 08:42:00,1013.60,51.1,48.9,92,21,200,1013.99,52.8,50.7,92,,35
2020-02-01 08:53:00,1013.90,50.0,48.9,96,20,200,1013.99,52.8,50.7,92,42.9,231
2020-02-01 09:01:00,1014.20,50.0,50.0,100,19,200,1013.71,51.3,49.7,94,,235
2020-02-01 09:10:00,1013.90,50.0,48.9,96,20,200,1013.71,51.3,49.7,94,,235
2020-02-01 09:43:00,1013.60,50.0,48.9,96,18,200,1013.71,51.3,49.7,94,,235
2020-02-01 09:53:00,1013.20,50.0,48.9,96,18,200,1013.71,51.3,49.7,94,,13
2020-02-01 10:11:00,1013.60,50.0,48.9,96,19,200,1013.46,51.1,49.5,94,57.4,116
2020-02-01 10:39:00,1013.20,50.0,48.9,96,19,200,1013.46,51.1,49.5,94,57.4,116
2020-02-01 10:53:00,1012.90,50.0,48.9,96,18,200,1013.46,51.1,49.5,94,130.8,60
2020-02-01 11:00:00,1012.90,50.0,48.9,96,15,200,1013.10,50.8,49.6,95,,211
2020-02-01 11:18:00,1013.60,50.0,48.9,96,19,200,1013.10,50.8,49.6,95,,211
2020-02-01 11:23:00,1013.20,50.0,48.9,96,18,200,1013.10,50.8,49.6,95,,211
2020-02-01 11:45:00,1013.60,50.0,48.9,96,19,200,1013.10,50.8,49.6,95,,42
2020-02-01 11:53:00,1013.60,50.0,48.9,96,17,210,1013.10,50.8,49.6,95,,42
2020-02-01 12:07:00,1013.60,50.0,48.9,96,15,210,1013.28,51.1,49.5,94,,223
2020-02-01 12:40:00,1013.20,50.0,48.9,96,18,210,1013.28,51.1,49.5,94,,223
2020-02-01 12:48:00,1013.60,50.0,48.2,93,18,210,1013.28,51.1,49.5,94,130.7,60
2020-02-01 12:53:00,1013.60,50.0,48.9,96,19,200,1013.28,51.1,49.5,94,130.7,60
2020-02-01 13:23:00,1013.90,50.0,48.9,96,19,210,1013.47,51.0,49.6,94,,330
2020-02-01 13:31:00,1013.90,50.0,48.9,96,18,210,1013.47,51.0,49.6,94,,330
2020-02-01 13:53:00,1013.20,50.0,48.9,96,17,200,1013.47,51.0,49.6,94,130.2,60
2020-02-01 14:53:00,1013.60,50.0,48.9,96,21,200,1013.41,50.8,49.6,95,60.0,13
2020-02-01 15:22:00,1013.89,50.0,48.9,95,12,210,,,,,,
2020-02-01 15:30:00,1014.22,50.0,48.9,95,10,220,,,,,,
2020-02-01 15:40:00,1014.22,50.0,48.9,95,9,220,,,,,,
2020-02-01 15:44:00,1014.22,50.0,48.9,95,11,220,,,,,,
2020-02-01 15:49:00,1014.56,50.0,48.2,93,8,250,,,,,,
2020-02-01 15:53:00,1014.56,50.0,48.9,95,15,220,,,,,,
2020-02-01 15:55:00,1014.56,50.0,48.9,95,13,240,,,,,,
2020-02-01 16:12:00,1014.56,48.9,46.9,92,11,240,,,,,,
2020-02-01 16:53:00,1015.58,46.9,45.0,93,11,220,,,,,,
2020-02-01 17:53:00,1017.95,46.0,42.1,86,13,220,,,,,,
2020-02-01 18:14:00,1018.63,46.0,42.1,86,12,200,,,,,,
2020-02-01 18:30:00,1019.64,46.0,41.0,82,11,220,,,,,,
2020-02-01 18:31:00,1019.64,46.0,41.0,82,12,220,,,,,,
2020-02-01 18:53:00,1019.98,45.0,41.0,85,15,210,,,,,,
2020-02-01 19:53:00,1021.00,45.0,39.9,82,11,220,,,,,,
2020-02-01 20:53:00,1021.00,45.0,39.0,79,13,220,,,,,,
2020-02-01 21:53:00,1021.00,45.0,37.0,73,12,210,,,,,,
